Epoch [1/50], Training loss: 5.3403, Validation loss: 5.2659, Validation accuracy: 10.51%
Epoch [2/50], Training loss: 4.9202, Validation loss: 5.0873, Validation accuracy: 13.11%
Epoch [3/50], Training loss: 4.6999, Validation loss: 4.9146, Validation accuracy: 16.21%
Epoch [4/50], Training loss: 4.5198, Validation loss: 4.8578, Validation accuracy: 16.42%
Epoch [5/50], Training loss: 4.3817, Validation loss: 4.7406, Validation accuracy: 18.08%
Epoch [6/50], Training loss: 4.2555, Validation loss: 4.6826, Validation accuracy: 18.93%
Epoch [7/50], Training loss: 4.1312, Validation loss: 4.6257, Validation accuracy: 19.78%
Epoch [8/50], Training loss: 4.0274, Validation loss: 4.5711, Validation accuracy: 20.41%
Epoch [9/50], Training loss: 3.9275, Validation loss: 4.5234, Validation accuracy: 20.83%
Epoch [10/50], Training loss: 3.8310, Validation loss: 4.5252, Validation accuracy: 20.77%
Epoch [11/50], Training loss: 3.5602, Validation loss: 4.3681, Validation accuracy: 23.69%
Epoch [12/50], Training loss: 3.5011, Validation loss: 4.3578, Validation accuracy: 23.53%
Epoch [13/50], Training loss: 3.4707, Validation loss: 4.3615, Validation accuracy: 23.84%
Epoch [14/50], Training loss: 3.4473, Validation loss: 4.3500, Validation accuracy: 23.68%
Epoch [15/50], Training loss: 3.4339, Validation loss: 4.3511, Validation accuracy: 23.95%
Epoch [16/50], Training loss: 3.4068, Validation loss: 4.3496, Validation accuracy: 23.74%
Epoch [17/50], Training loss: 3.3902, Validation loss: 4.3501, Validation accuracy: 23.80%
Epoch [18/50], Training loss: 3.3673, Validation loss: 4.3426, Validation accuracy: 23.80%
Epoch [19/50], Training loss: 3.3501, Validation loss: 4.3414, Validation accuracy: 24.08%
Epoch [20/50], Training loss: 3.3296, Validation loss: 4.3376, Validation accuracy: 24.20%
Epoch [21/50], Training loss: 3.2742, Validation loss: 4.3302, Validation accuracy: 24.34%
Epoch [22/50], Training loss: 3.2686, Validation loss: 4.3270, Validation accuracy: 24.16%
Epoch [23/50], Training loss: 3.2698, Validation loss: 4.3299, Validation accuracy: 24.31%
Epoch [24/50], Training loss: 3.2638, Validation loss: 4.3258, Validation accuracy: 24.30%
Epoch [25/50], Training loss: 3.2598, Validation loss: 4.3256, Validation accuracy: 24.21%
Epoch [26/50], Training loss: 3.2629, Validation loss: 4.3281, Validation accuracy: 23.90%
Epoch [27/50], Training loss: 3.2587, Validation loss: 4.3292, Validation accuracy: 24.17%
Epoch [28/50], Training loss: 3.2530, Validation loss: 4.3277, Validation accuracy: 24.18%
Epoch [29/50], Training loss: 3.2523, Validation loss: 4.3261, Validation accuracy: 24.29%
Epoch [30/50], Training loss: 3.2475, Validation loss: 4.3275, Validation accuracy: 24.28%
Epoch [31/50], Training loss: 3.2386, Validation loss: 4.3276, Validation accuracy: 24.17%
Epoch [32/50], Training loss: 3.2411, Validation loss: 4.3238, Validation accuracy: 24.18%
Epoch [33/50], Training loss: 3.2399, Validation loss: 4.3240, Validation accuracy: 24.22%
Epoch [34/50], Training loss: 3.2418, Validation loss: 4.3302, Validation accuracy: 24.16%
Epoch [35/50], Training loss: 3.2390, Validation loss: 4.3282, Validation accuracy: 24.29%
Epoch [36/50], Training loss: 3.2408, Validation loss: 4.3283, Validation accuracy: 24.18%
Epoch [37/50], Training loss: 3.2404, Validation loss: 4.3253, Validation accuracy: 24.23%
Epoch [38/50], Training loss: 3.2448, Validation loss: 4.3273, Validation accuracy: 24.48%
Epoch [39/50], Training loss: 3.2370, Validation loss: 4.3234, Validation accuracy: 24.44%
Epoch [40/50], Training loss: 3.2367, Validation loss: 4.3224, Validation accuracy: 24.14%
Epoch [41/50], Training loss: 3.2381, Validation loss: 4.3288, Validation accuracy: 24.29%
Epoch [42/50], Training loss: 3.2393, Validation loss: 4.3235, Validation accuracy: 24.12%
Epoch [43/50], Training loss: 3.2364, Validation loss: 4.3249, Validation accuracy: 24.36%
Epoch [44/50], Training loss: 3.2342, Validation loss: 4.3271, Validation accuracy: 24.16%
Epoch [45/50], Training loss: 3.2417, Validation loss: 4.3232, Validation accuracy: 24.30%
Epoch [46/50], Training loss: 3.2405, Validation loss: 4.3258, Validation accuracy: 24.19%
Epoch [47/50], Training loss: 3.2386, Validation loss: 4.3233, Validation accuracy: 24.32%
Epoch [48/50], Training loss: 3.2342, Validation loss: 4.3256, Validation accuracy: 24.06%
Epoch [49/50], Training loss: 3.2406, Validation loss: 4.3262, Validation accuracy: 24.27%
Epoch [50/50], Training loss: 3.2402, Validation loss: 4.3275, Validation accuracy: 23.99%
