Epoch [1/50], Training loss: 2.9855, Validation loss: 2.2897, Validation accuracy: 34.14%
Epoch [2/50], Training loss: 1.9126, Validation loss: 1.7846, Validation accuracy: 46.74%
Epoch [3/50], Training loss: 1.5577, Validation loss: 1.5322, Validation accuracy: 54.49%
Epoch [4/50], Training loss: 1.3483, Validation loss: 1.4729, Validation accuracy: 56.50%
Epoch [5/50], Training loss: 1.2022, Validation loss: 1.3061, Validation accuracy: 61.98%
Epoch [6/50], Training loss: 1.0922, Validation loss: 1.2348, Validation accuracy: 63.12%
Epoch [7/50], Training loss: 1.0095, Validation loss: 1.2176, Validation accuracy: 64.31%
Epoch [8/50], Training loss: 0.9448, Validation loss: 1.1301, Validation accuracy: 66.27%
Epoch [9/50], Training loss: 0.8972, Validation loss: 1.1138, Validation accuracy: 67.27%
Epoch [10/50], Training loss: 0.8461, Validation loss: 1.0759, Validation accuracy: 67.89%
Epoch [11/50], Training loss: 0.7073, Validation loss: 0.9491, Validation accuracy: 72.01%
Epoch [12/50], Training loss: 0.6719, Validation loss: 0.9347, Validation accuracy: 72.66%
Epoch [13/50], Training loss: 0.6564, Validation loss: 0.9259, Validation accuracy: 72.62%
Epoch [14/50], Training loss: 0.6471, Validation loss: 0.9201, Validation accuracy: 72.81%
Epoch [15/50], Training loss: 0.6416, Validation loss: 0.9227, Validation accuracy: 72.74%
Epoch [16/50], Training loss: 0.6272, Validation loss: 0.9093, Validation accuracy: 73.28%
Epoch [17/50], Training loss: 0.6196, Validation loss: 0.9206, Validation accuracy: 72.88%
Epoch [18/50], Training loss: 0.6135, Validation loss: 0.9070, Validation accuracy: 72.94%
Epoch [19/50], Training loss: 0.6100, Validation loss: 0.9017, Validation accuracy: 73.32%
Epoch [20/50], Training loss: 0.5955, Validation loss: 0.9001, Validation accuracy: 73.39%
Epoch [21/50], Training loss: 0.5788, Validation loss: 0.8932, Validation accuracy: 73.47%
Epoch [22/50], Training loss: 0.5778, Validation loss: 0.8924, Validation accuracy: 73.53%
Epoch [23/50], Training loss: 0.5746, Validation loss: 0.8887, Validation accuracy: 73.66%
Epoch [24/50], Training loss: 0.5746, Validation loss: 0.8894, Validation accuracy: 73.31%
Epoch [25/50], Training loss: 0.5731, Validation loss: 0.8899, Validation accuracy: 73.67%
Epoch [26/50], Training loss: 0.5687, Validation loss: 0.8879, Validation accuracy: 73.88%
Epoch [27/50], Training loss: 0.5702, Validation loss: 0.8928, Validation accuracy: 73.68%
Epoch [28/50], Training loss: 0.5696, Validation loss: 0.8878, Validation accuracy: 74.11%
Epoch [29/50], Training loss: 0.5693, Validation loss: 0.8853, Validation accuracy: 73.72%
Epoch [30/50], Training loss: 0.5667, Validation loss: 0.8888, Validation accuracy: 73.54%
Epoch [31/50], Training loss: 0.5641, Validation loss: 0.8857, Validation accuracy: 73.76%
Epoch [32/50], Training loss: 0.5665, Validation loss: 0.8863, Validation accuracy: 73.67%
Epoch [33/50], Training loss: 0.5633, Validation loss: 0.8873, Validation accuracy: 73.77%
Epoch [34/50], Training loss: 0.5673, Validation loss: 0.8864, Validation accuracy: 73.85%
Epoch [35/50], Training loss: 0.5670, Validation loss: 0.8841, Validation accuracy: 73.90%
Epoch [36/50], Training loss: 0.5645, Validation loss: 0.8880, Validation accuracy: 73.59%
Epoch [37/50], Training loss: 0.5664, Validation loss: 0.8887, Validation accuracy: 73.57%
Epoch [38/50], Training loss: 0.5650, Validation loss: 0.8868, Validation accuracy: 73.77%
Epoch [39/50], Training loss: 0.5638, Validation loss: 0.8850, Validation accuracy: 73.86%
Epoch [40/50], Training loss: 0.5670, Validation loss: 0.8918, Validation accuracy: 73.77%
Epoch [41/50], Training loss: 0.5622, Validation loss: 0.8852, Validation accuracy: 73.89%
Epoch [42/50], Training loss: 0.5624, Validation loss: 0.8877, Validation accuracy: 73.86%
Epoch [43/50], Training loss: 0.5624, Validation loss: 0.8880, Validation accuracy: 73.60%
Epoch [44/50], Training loss: 0.5630, Validation loss: 0.8849, Validation accuracy: 73.83%
Epoch [45/50], Training loss: 0.5644, Validation loss: 0.8877, Validation accuracy: 73.77%
Epoch [46/50], Training loss: 0.5652, Validation loss: 0.8868, Validation accuracy: 73.84%
Epoch [47/50], Training loss: 0.5640, Validation loss: 0.8855, Validation accuracy: 73.85%
Epoch [48/50], Training loss: 0.5674, Validation loss: 0.8872, Validation accuracy: 73.77%
Epoch [49/50], Training loss: 0.5637, Validation loss: 0.8843, Validation accuracy: 74.04%
Epoch [50/50], Training loss: 0.5633, Validation loss: 0.8887, Validation accuracy: 73.60%
