Epoch [1/50], Training loss: 3.8123, Validation loss: 3.5727, Validation accuracy: 7.99%
Epoch [2/50], Training loss: 3.3112, Validation loss: 3.1638, Validation accuracy: 16.27%
Epoch [3/50], Training loss: 2.8569, Validation loss: 2.8203, Validation accuracy: 23.78%
Epoch [4/50], Training loss: 2.4984, Validation loss: 2.4441, Validation accuracy: 30.71%
Epoch [5/50], Training loss: 2.1526, Validation loss: 2.0386, Validation accuracy: 41.52%
Epoch [6/50], Training loss: 1.9411, Validation loss: 2.0407, Validation accuracy: 43.15%
Epoch [7/50], Training loss: 1.8239, Validation loss: 1.9299, Validation accuracy: 45.05%
Epoch [8/50], Training loss: 1.7112, Validation loss: 1.7237, Validation accuracy: 51.01%
Epoch [9/50], Training loss: 1.6319, Validation loss: 1.8768, Validation accuracy: 47.06%
Epoch [10/50], Training loss: 1.5719, Validation loss: 1.7181, Validation accuracy: 51.99%
Epoch [11/50], Training loss: 1.3457, Validation loss: 1.5540, Validation accuracy: 56.80%
Epoch [12/50], Training loss: 1.3187, Validation loss: 1.5854, Validation accuracy: 56.90%
Epoch [13/50], Training loss: 1.3014, Validation loss: 1.5356, Validation accuracy: 57.49%
Epoch [14/50], Training loss: 1.2950, Validation loss: 1.5787, Validation accuracy: 56.89%
Epoch [15/50], Training loss: 1.2761, Validation loss: 1.5586, Validation accuracy: 57.13%
Epoch [16/50], Training loss: 1.2690, Validation loss: 1.5562, Validation accuracy: 57.40%
Epoch [17/50], Training loss: 1.2620, Validation loss: 1.5619, Validation accuracy: 57.23%
Epoch [18/50], Training loss: 1.2541, Validation loss: 1.5190, Validation accuracy: 58.00%
Epoch [19/50], Training loss: 1.2468, Validation loss: 1.5636, Validation accuracy: 57.28%
Epoch [20/50], Training loss: 1.2365, Validation loss: 1.5505, Validation accuracy: 57.31%
Epoch [21/50], Training loss: 1.1966, Validation loss: 1.4932, Validation accuracy: 58.90%
Epoch [22/50], Training loss: 1.1889, Validation loss: 1.5067, Validation accuracy: 58.86%
Epoch [23/50], Training loss: 1.1947, Validation loss: 1.4988, Validation accuracy: 58.55%
Epoch [24/50], Training loss: 1.1899, Validation loss: 1.4971, Validation accuracy: 59.02%
Epoch [25/50], Training loss: 1.1895, Validation loss: 1.4950, Validation accuracy: 58.86%
Epoch [26/50], Training loss: 1.1891, Validation loss: 1.4916, Validation accuracy: 58.96%
Epoch [27/50], Training loss: 1.1870, Validation loss: 1.4957, Validation accuracy: 58.99%
Epoch [28/50], Training loss: 1.1852, Validation loss: 1.5060, Validation accuracy: 58.78%
Epoch [29/50], Training loss: 1.1824, Validation loss: 1.4979, Validation accuracy: 59.02%
Epoch [30/50], Training loss: 1.1827, Validation loss: 1.5087, Validation accuracy: 59.09%
Epoch [31/50], Training loss: 1.1787, Validation loss: 1.5021, Validation accuracy: 58.64%
Epoch [32/50], Training loss: 1.1797, Validation loss: 1.4965, Validation accuracy: 58.84%
Epoch [33/50], Training loss: 1.1788, Validation loss: 1.4974, Validation accuracy: 59.02%
Epoch [34/50], Training loss: 1.1740, Validation loss: 1.5016, Validation accuracy: 58.86%
Epoch [35/50], Training loss: 1.1752, Validation loss: 1.4961, Validation accuracy: 59.12%
Epoch [36/50], Training loss: 1.1744, Validation loss: 1.4978, Validation accuracy: 58.90%
Epoch [37/50], Training loss: 1.1776, Validation loss: 1.4965, Validation accuracy: 59.14%
Epoch [38/50], Training loss: 1.1719, Validation loss: 1.5012, Validation accuracy: 59.20%
Epoch [39/50], Training loss: 1.1770, Validation loss: 1.4968, Validation accuracy: 59.01%
Epoch [40/50], Training loss: 1.1790, Validation loss: 1.5029, Validation accuracy: 58.71%
Epoch [41/50], Training loss: 1.1760, Validation loss: 1.4963, Validation accuracy: 58.84%
Epoch [42/50], Training loss: 1.1769, Validation loss: 1.4995, Validation accuracy: 59.08%
Epoch [43/50], Training loss: 1.1760, Validation loss: 1.4985, Validation accuracy: 58.93%
Epoch [44/50], Training loss: 1.1758, Validation loss: 1.4953, Validation accuracy: 58.80%
Epoch [45/50], Training loss: 1.1756, Validation loss: 1.5037, Validation accuracy: 58.93%
Epoch [46/50], Training loss: 1.1764, Validation loss: 1.4933, Validation accuracy: 59.10%
Epoch [47/50], Training loss: 1.1767, Validation loss: 1.5058, Validation accuracy: 58.71%
Epoch [48/50], Training loss: 1.1762, Validation loss: 1.4986, Validation accuracy: 58.82%
Epoch [49/50], Training loss: 1.1753, Validation loss: 1.5002, Validation accuracy: 58.80%
Epoch [50/50], Training loss: 1.1748, Validation loss: 1.5023, Validation accuracy: 58.95%
